,country,1950,2020,sr_mean,gdp_mean,gdp_growth_mean,dem_index_mean,mil_exp_mean,cars_mean,alc_cons_mean
19,Burkina Faso,110.0,99.9,104.95,391.32758620689657,3.994828125,40.323076923076925,1.7990689655172412,10.8,7.15
20,Burundi,91.9,97.1,94.5,255.24137931034483,2.8871640625,35.15384615384616,3.30425,5.67,9.56
21,Canada,103.0,98.6,100.8,35546.55172413793,3.555328125,90.93846153846152,1.8618275862068965,587.0,9.985
22,Cape Verde,89.3,99.6,94.44999999999999,1988.9473684210527,4.8107500000000005,78.27692307692307,0.9810000000000001,94.0,4.970000000000001
23,Central African Republic,97.2,97.4,97.30000000000001,489.8448275862069,0.9779578124999999,16.830769230769228,1.5761904761904764,0.295,3.26
24,Chad,97.5,100.0,98.75,626.0344827586207,3.7148281250000004,15.49230769230769,3.0453939393939398,5.84,4.385
25,Chile,97.2,98.3,97.75,7605.172413793103,4.203578125,77.86923076923077,3.87551724137931,148.2,8.93
26,China,108.0,106.0,107.0,1662.4310344827586,6.5084687500000005,30.838461538461534,1.9834482758620688,22.21666666666667,5.734999999999999
27,Colombia,98.4,96.7,97.55000000000001,4329.482758620689,4.5181875,65.9923076923077,2.6655172413793102,62.3,6.38
28,"Congo, Dem. Rep.",88.1,99.7,93.9,677.7758620689655,1.828421875,20.546153846153842,0.7395017142857144,5.0,3.3449999999999998
29,Costa Rica,104.0,100.0,102.0,5487.586206896552,4.980218750000001,80.1923076923077,0.0,171.5,5.68
30,Croatia,91.0,93.2,92.1,12498.695652173914,2.4589375,68.66153846153846,3.8749999999999996,349.6666666666667,15.05
31,Cuba,107.0,100.0,103.5,3929.3478260869565,2.5191507936507938,34.5923076923077,3.4085714285714284,38.0,5.3149999999999995
32,Cyprus,97.3,99.9,98.6,22645.581395348836,4.68856421875,74.89999999999999,3.217272727272727,588.8,9.05
33,Czech Republic,94.4,96.8,95.6,16975.0,2.3569421875,80.28461538461539,1.5322399999999998,432.0,16.5
34,Denmark,98.4,98.9,98.65,43720.68965517241,2.6384015625000004,93.75384615384617,1.956034482758621,439.25,13.266666666666666
35,Dominican Republic,103.0,99.0,101.0,3261.896551724138,5.537671874999999,64.25384615384617,1.592,112.8,6.345000000000001
36,Ecuador,98.8,99.8,99.3,3665.862068965517,4.0527953125,58.153846153846175,2.1113793103448275,59.9,9.07
37,El Salvador,97.4,88.2,92.80000000000001,2661.509433962264,2.827953125,64.23076923076923,1.6407169811320752,83.7,3.8
38,Eritrea,98.2,101.0,99.6,538.9,3.2722960937499996,23.546153846153842,22.636363636363637,11.3,1.5899999999999999
39,Estonia,74.4,88.6,81.5,13754.347826086956,3.1800828125000002,77.32307692307693,1.6205600000000002,433.0,14.5
40,Ethiopia,98.6,99.8,99.19999999999999,262.7837837837838,3.9599109374999997,39.15384615384615,3.906894736842105,2.3333333333333335,4.06
41,Fiji,109.0,103.0,106.0,2934.310344827586,3.5142171875,49.02307692307692,1.3414583333333334,173.0,2.5949999999999998
42,Finland,91.5,97.5,94.5,30939.655172413793,3.2259359375,91.2076923076923,1.5601724137931037,528.8,11.796666666666667
43,France,92.6,96.9,94.75,30227.58620689655,3.092778125,79.1923076923077,3.4910344827586206,596.1666666666666,13.1
44,Gambia,95.0,98.0,96.5,512.1346153846154,4.1037968750000005,36.41538461538462,0.675225806451613,7.57,3.4850000000000003
45,Germany,85.7,97.3,91.5,33416.666666666664,3.3573781249999994,85.86923076923075,2.542068965517241,589.6666666666666,12.45
46,Ghana,102.0,99.6,100.8,1049.1206896551723,4.322593749999999,61.06923076923077,0.9935614035087719,22.725,3.04
47,Greece,94.7,96.9,95.80000000000001,19121.379310344826,3.78421875,76.92307692307692,3.820689655172414,415.8333333333333,11.433333333333332
48,Guatemala,102.0,97.0,99.5,2307.2413793103447,3.914015625,59.23076923076924,1.087293103448276,117.0,5.5649999999999995
49,Guinea-Bissau,97.8,97.1,97.44999999999999,555.0208333333334,2.7304171874999996,18.800000000000004,1.0734783333333333,16.95,3.79
50,Guyana,98.5,103.0,100.75,2193.793103448276,1.8245421874999999,61.56923076923078,2.6743809523809525,95.4,9.1
51,Honduras,101.0,99.5,100.25,1589.655172413793,3.7143671875,59.107692307692304,1.5432549019607844,96.9,4.455
52,Hungary,92.8,90.9,91.85,11799.62962962963,2.3238984375,70.52307692307691,2.22175,343.5,15.633333333333335
53,Iceland,100.0,101.0,100.5,41286.36363636364,3.7669218749999995,96.23846153846154,0.0,695.4,6.403333333333333
54,India,105.0,107.0,106.0,694.0172413793103,4.996921875,75.75384615384615,3.050689655172414,11.5,2.6399999999999997
55,Indonesia,98.4,101.0,99.7,1810.0,5.1221875,66.1,1.5247045454545451,92.4,0.575
56,Iran,104.0,101.0,102.5,5637.586206896552,4.849296875,23.300000000000004,4.098103448275862,15.6,1.025
57,Ireland,104.0,98.6,101.3,32889.583333333336,3.85311875,88.87692307692308,1.049844827586207,473.3333333333333,14.65
58,Israel,106.0,99.1,102.55,21395.51724137931,6.337640625,75.78461538461538,13.069827586206896,291.4,2.705
59,Italy,94.9,95.5,95.2,27229.310344827587,3.306890625,78.55384615384615,2.163448275862069,665.6666666666666,10.21
60,Jamaica,94.7,98.9,96.80000000000001,4451.346153846154,2.708453125,72.79999999999998,0.8282564102564104,188.0,5.085
61,Japan,96.2,95.3,95.75,32063.96551724138,1.8028046875000001,80.76153846153845,0.9184827586206896,586.0,7.91
62,Jordan,108.0,103.0,105.5,2983.720930232558,6.653875,38.57692307692308,10.459655172413793,117.0,0.6799999999999999
63,Kazakhstan,93.8,93.9,93.85,6951.785714285715,3.8245468750000002,32.176923076923075,1.0297600000000002,118.5,11.05
64,Kenya,102.0,98.8,100.4,832.3103448275862,4.042815624999999,49.869230769230775,2.0337454545454547,18.275,4.01
65,Kuwait,148.0,135.0,141.5,40108.69565217391,4.555125,36.707692307692305,9.725434782608694,440.3333333333333,0.1
66,Kyrgyz Republic,91.0,98.2,94.6,830.5625,2.467890625,46.24615384615385,2.9573076923076917,59.1,4.904999999999999
67,Lao,97.1,99.7,98.4,819.2352941176471,4.308734375,22.046153846153842,2.1636818181818183,38.9,6.86
68,Latvia,76.2,85.1,80.65,10440.869565217392,3.28590625,72.33076923076922,1.14768,377.8333333333333,13.0
69,Liberia,108.0,102.0,105.0,860.1896551724138,2.9872500000000004,51.30769230769231,2.8697619047619045,2.87,5.0649999999999995
70,Libya,107.0,102.0,104.5,9087.894736842105,6.886234375000001,27.692307692307686,3.1037105263157896,274.0,0.10500000000000001
71,Lithuania,82.2,85.5,83.85,10745.217391304348,2.7385546874999998,74.00769230769231,1.01924,442.6666666666667,15.65
72,Luxembourg,100.0,101.0,100.5,65487.93103448276,3.517859375,89.23076923076921,0.8337241379310345,667.75,12.9
73,Malawi,92.3,98.3,95.3,367.17241379310343,4.157890625,55.49230769230769,1.2048266037735849,8.59,1.5899999999999999
74,Malaysia,106.0,106.0,106.0,5137.758620689655,5.931578125,63.8076923076923,3.0363793103448273,265.0,0.845
75,Mali,105.0,100.0,102.5,527.8627450980392,3.5928484375,57.96923076923077,2.082181818181818,9.22,1.0150000000000001
76,Malta,97.5,101.0,99.25,14202.5,4.398703125,83.1923076923077,0.791969696969697,611.0,4.185
77,Mauritius,99.2,97.4,98.30000000000001,5201.9047619047615,4.848,81.34615384615384,0.22438,131.2,3.625
78,Mexico,98.9,99.2,99.05000000000001,7378.620689655172,4.617156250000001,66.92307692307692,0.5617413793103448,211.83333333333334,8.485
79,Moldova,87.6,91.8,89.69999999999999,1449.6521739130435,1.8333125000000001,62.838461538461544,0.50008,92.0,19.76666666666667
80,Mongolia,96.7,97.6,97.15,2142.7027027027025,5.144578125000001,65.06923076923077,1.960032258064516,48.833333333333336,3.325
81,Morocco,99.0,98.3,98.65,1856.8653846153845,3.8106093750000003,41.96923076923077,3.7791379310344833,65.05,1.35
82,Mozambique,95.6,95.8,95.69999999999999,282.2631578947368,3.7311406249999997,47.66153846153847,2.5504210526315787,9.93,2.325
83,Myanmar,98.3,95.5,96.9,410.01724137931035,3.9654359375000006,26.75384615384616,3.731176470588235,5.715,0.575
84,Namibia,98.7,95.0,96.85,4352.631578947368,4.1613500000000005,63.26923076923078,3.0618518518518516,97.0,10.86
85,Nepal,98.2,94.7,96.45,397.3448275862069,3.6279062499999997,44.25384615384615,1.1713958333333332,5.27,2.415
86,Netherlands,99.4,99.3,99.35,35503.44827586207,3.4052031250000003,90.9846153846154,2.339310344827586,494.5,9.925
87,New Zealand,101.0,96.7,98.85,27662.5,2.9205590624999997,92.2076923076923,1.9498275862068963,715.1666666666666,9.6
88,Nicaragua,98.9,97.3,98.1,1668.9655172413793,3.2149703125,53.47692307692308,1.3924634146341464,43.7,5.29
89,Niger,82.3,101.0,91.65,448.36206896551727,3.206684375,37.66153846153847,1.0945,5.0,0.34
90,Nigeria,99.5,103.0,101.25,1661.7241379310344,3.8948812499999996,38.98461538461539,2.1254655172413797,30.8,12.5
91,North Macedonia,101.0,99.9,100.45,3922.8571428571427,3.2212968749999997,60.44615384615385,1.9260454545454544,149.5,10.049999999999999
92,Norway,98.2,102.0,100.1,60201.724137931036,3.4946546874999997,98.13846153846154,2.5177586206896554,539.8,7.473333333333334
93,Oman,103.0,199.0,151.0,14026.22641509434,8.2328171875,30.384615384615376,16.51531914893617,225.0,0.9299999999999999
94,Pakistan,120.0,106.0,113.0,712.5862068965517,4.6470625,43.98461538461538,5.1129310344827585,11.033333333333333,0.055
95,Panama,105.0,100.0,102.5,5189.827586206897,5.184015625000001,71.7076923076923,0.5579032258064517,145.5,7.074999999999999
96,Papua New Guinea,111.0,104.0,107.5,1754.3103448275863,3.87947234375,62.961538461538446,1.0554999999999999,8.87,3.5650000000000004
97,Paraguay,96.9,103.0,99.95,2351.0344827586205,3.8863390625,63.05384615384616,2.2370689655172415,82.0,7.895
98,Peru,101.0,99.7,100.35,3738.448275862069,4.037164687500001,64.49230769230769,2.823051724137931,48.175,6.715
99,Philippines,98.9,101.0,99.95,1628.6206896551723,4.785953125,64.56923076923077,1.9392982456140353,33.666666666666664,6.23
100,Poland,91.0,93.3,92.15,9948.214285714286,3.29565625,70.93846153846155,2.1992105263157895,390.5,13.850000000000001
101,Portugal,92.6,90.0,91.3,15177.068965517241,3.4543140625,79.12307692307692,3.042586206896552,507.0,14.25
102,Qatar,103.0,293.0,198.0,65972.22222222222,12.542209374999999,30.853846153846153,9.038,616.0,1.27
103,Romania,93.6,93.9,93.75,6785.0,3.13466875,66.94615384615383,2.5178947368421056,181.0,15.75
104,Russia,76.6,86.8,81.69999999999999,8838.275862068966,2.58696875,38.599999999999994,3.985384615384615,236.5,12.983333333333333
105,Rwanda,96.6,96.3,96.44999999999999,401.05172413793105,4.94884375,33.8,1.5164888888888888,3.88,9.895
106,Senegal,95.4,96.8,96.1,942.9655172413793,3.2020421875,57.83846153846154,1.848717948717949,20.4,0.5549999999999999
107,Serbia,94.4,95.5,94.95,4636.95652173913,2.2990765625,65.03076923076924,2.8395454545454544,233.5,11.649999999999999
108,Sierra Leone,96.0,98.3,97.15,417.13793103448273,2.7504375,43.98461538461539,1.351890909090909,4.605,9.600000000000001
109,Singapore,107.0,97.7,102.35,23546.03448275862,7.279109375,60.29999999999999,4.415625,137.83333333333334,1.545
110,Slovak Republic,94.1,94.6,94.35,13399.615384615385,3.2215640625,73.1,1.6408399999999999,278.6,13.3
111,Slovenia,91.6,98.9,95.25,21265.217391304348,3.1607671875,77.36153846153847,1.3812307692307693,512.8333333333334,18.099999999999998
112,South Africa,102.0,96.2,99.1,6166.206896551724,3.405859375,77.01538461538462,2.448293103448276,146.6,9.886666666666667
113,South Korea,99.2,100.0,99.6,10044.879310344828,7.652992187500001,80.16153846153846,4.045689655172414,315.3333333333333,19.2
114,Spain,92.8,96.4,94.6,21387.068965517243,4.237515625,81.93846153846154,1.9722413793103446,570.0,11.7
115,Sri Lanka,119.0,92.1,105.55,1521.4561403508771,4.46378125,63.33846153846153,2.2343620689655173,51.45,0.8
116,Sudan,99.8,100.0,99.9,1029.2931034482758,3.7939062499999996,24.984615384615385,3.2354615384615384,28.0,2.56
117,Swaziland,94.6,93.8,94.19999999999999,2613.9583333333335,5.218568749999999,30.584615384615383,1.7799999999999998,85.0,5.375
118,Sweden,99.2,101.0,100.1,37000.0,2.6622015625,96.26153846153846,2.4587931034482757,512.2,9.409090909090908
119,Switzerland,93.0,98.4,95.7,66265.78947368421,2.4978232812499996,90.8153846153846,1.5245172413793102,559.8333333333334,11.25
120,Tajikistan,93.8,101.0,97.4,786.3636363636364,2.8341671875000003,23.03076923076923,0.952078,38.2,3.39
121,Tanzania,95.2,98.0,96.6,599.1,4.193403125,55.43846153846154,2.6998431372549008,11.7,7.305
122,Togo,97.2,99.5,98.35,529.8448275862069,2.8666718749999998,30.261538461538464,2.003604166666667,1.98,1.955
123,Trinidad and Tobago,101.0,96.6,98.8,9717.241379310344,4.32765625,71.12307692307692,0.6065757575757575,351.0,6.220000000000001
124,Tunisia,98.7,97.7,98.2,2574.9056603773583,4.71365625,49.0923076923077,1.9094827586206897,95.66666666666667,1.17
125,Turkey,101.0,97.3,99.15,7099.482758620689,4.74228125,53.98461538461538,3.327931034482759,110.16666666666667,2.9450000000000003
